Reporting date,Company Name,ABN,Segment,Sub-segment,Restriction on authorisation,Gross written premium,Gross earned premium,"Of which:Fire service levy",Outwards reinsurance expense,Net earned premium,Gross incurred claims,"Of which:Paid claims","Of which:Movement in outstanding claims liabilities",Reinsurance recoveries revenue,Non-reinsurance recoveries revenue,Net incurred claims,Of which: Current period net claims expense,Of which: Non-recurring items that are part of net claims,Acquisition costs (excluding LAT),Results of liability adequacy tests,Levies and charges,Commission revenue,Commission expense,Other underwriting expenses,Total underwriting expenses,Underwriting result,Investment income on assets backing insurance liabilities,Investment expenses on assets backing insurance liabilities,Insurance result,Investment income on shareholders funds,Other operating expenses,Other operating income,Income tax expense from continuing operations,Other profit and loss items,Net profit/loss after tax
30/06/2023,AAI Limited,48005297807,Direct insurer,Direct insurers from large groups,,"3,078","2,591",39,335,"2,256","1,601","1,981",-379,92,152,"1,357","1,647",-290,240,0,92,24,97,35,440,459,-63,0,396,38,67,24,117,0,274
30/06/2023,Achmea Schadeverzekeringen N.V.,86158237702,Direct insurer,Commercial lines insurers,,16,25,1,3,22,10,13,-3,0,0,10,8,2,0,0,1,0,0,0,1,11,1,0,12,0,8,0,0,0,4
30/06/2023,AIG Australia Limited,93004727753,Direct insurer,Commercial lines insurers,,297,248,7,124,125,143,123,20,72,2,69,73,-4,2,0,7,32,37,1,15,40,2,1,41,-6,24,-1,2,0,9
30/06/2023,Aioi Nissay Dowa Insurance Company Australia Pty Ltd,11132524282,Direct insurer,Personal lines insurers,,87,58,0,9,49,58,46,11,10,13,35,34,1,0,0,0,0,8,0,7,7,1,0,8,1,9,0,0,0,-1
30/06/2023,Aioi Nissay Dowa Insurance Company Limited,39096302466,Direct insurer,Personal lines insurers,Run-off,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1
30/06/2023,Allianz Australia General Insurance Limited,99003719319,Direct insurer,Direct insurers from large groups,,2,2,0,2,0,24,49,-25,25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30/06/2023,Allianz Australia Insurance Limited,15000122850,Direct insurer,Direct insurers from large groups,,"2,154","1,717",29,200,"1,518","1,027","1,414",-387,53,1,973,"1,100",-127,124,0,29,14,184,73,395,149,-76,2,71,36,65,70,35,0,77
30/06/2023,Allied World Assurance Company Limited,54163304907,Direct insurer,Commercial lines insurers,,44,40,1,17,23,44,13,31,25,0,19,15,4,0,0,1,4,3,0,0,4,-1,0,4,-1,4,0,0,0,-1
30/06/2023,Ansvar Insurance Limited,21007216506,Direct insurer,Commercial lines insurers,,68,45,1,24,21,6,35,-28,2,0,4,6,-2,5,0,1,6,9,0,9,8,-2,0,5,0,1,0,1,0,3
30/06/2023,ANZ Lenders Mortgage Insurance Pty. Limited,77008680055,Direct insurer,Lenders mortgage insurers,LMI,20,23,0,6,17,3,1,1,1,0,2,2,0,0,0,0,6,0,0,-6,22,8,2,28,0,0,0,8,0,19
30/06/2023,Arch Lenders Mortgage Indemnity Limited,60074042934,Direct insurer,Lenders mortgage insurers,LMI,45,64,0,48,16,6,1,5,5,0,1,1,0,0,0,0,13,0,0,-13,28,-2,0,26,-8,8,0,3,0,7
30/06/2023,Aspen Insurance UK Limited,33128637650,Reinsurer,Reinsurer,,0,1,0,1,0,10,13,-2,6,0,4,0,4,0,0,0,0,1,0,0,-4,0,0,-4,-1,0,0,0,0,-5
30/06/2023,Assetinsure Pty Limited,65066463803,Direct insurer,Commercial lines insurers,,56,35,0,6,29,16,16,0,5,0,11,4,7,-1,0,0,1,12,0,10,8,2,0,10,0,10,13,4,0,10
30/06/2023,Atradius Credito Y Caucion S.A. De Seguros Y Reaseguros,90610834556,Direct insurer,Other direct insurers,,21,23,0,9,14,14,13,1,4,1,8,7,2,3,0,0,4,0,0,-1,7,0,0,7,0,5,2,0,0,3
30/06/2023,Auto & General Insurance Company Limited,42111586353,Direct insurer,Personal lines insurers,,551,477,8,37,441,357,355,3,-5,57,305,304,1,0,0,8,0,66,0,74,62,7,0,69,4,12,0,19,0,43
